ANO;MES;PRODUTO;DESCCOMPLETA;VALOR_TOTAL_LIQUIDO;IMPOSTOS;VERBA_BONIFICACAO;CUSTO_LIQUIDO;CUSTO_FISCAL_TOTAL
2022;01;21543;"CAP CAFE LOR 52G SUNTUOSO";22.9;1.6;0;14.78;14.78
2022;01;23120;"JOGO COPO VD PASABAHCE 460ML 6P M CARLO";419.3;38.79;0;212.6;228.57
2022;01;2198;"SNACK TAI KALASSI RICE 100G CHEESE";89.4;8.27;0;55.25;59.57
2022;01;10521;"GELEIA OLE 230G PESSEGO";203.46;18.82;0;118.44;128.52
2022;01;756;"SAND BIG ARABE KG";1548.96;261.36;0;567.86;581.91
2022;01;10071;"HAMBURGUER BOVINO SADIA 672G";1624.4;150.26;0;1041.79;1053.81
2022;01;15797;"MILHO PIPOCA M TERRA ORG 350G";51.96;13.3;0;24.35;27.45
2022;01;19117;"BANANADA ZR BANABRAZIL 230G UVAS PASSA";2326.51;215.2;0;1340.66;1463.87
2022;01;18517;"FILE PEITO SADIA BIO BD 1KG";2382.02;0;0;1458.48;1568.81
2022;01;24079;"CR TRAT ELSEVE NOT 200G HIDRA HIALURON";1328.3;0;0;914.9;914.9
2022;01;22477;"MASSA FRESCA INT RAP 10 198G CHIA QUINOA";249.2;23.05;0;140.16;140.16
2022;01;4326;"SUCO BIG MGO COPO 300ML";820.8;210.02;0;220.72;220.72
2022;01;9323;"DOCE LEITE ARAXA 200G COCO";325.95;30.15;0;205.97;226.41
2022;01;10057;"HAMBURGUER PERDIGAO DEFUM 672G";526.07;48.66;0;382.31;382.31
2022;01;9152;"ERVILHA PINK 500G";154.62;27.9;0;61.26;77.86
2022;01;24702;"SALG CHEEZ IT 115G CHEDDAR";174.91;16.18;0;103.19;112.39
2022;01;10531;"GELEIA QUEENSBERRY 320G LJA";264.6;24.48;0;154.06;169.75
2022;01;8927;"ARROZ ORG INT TIO JOAO 1KG";370.4;25.97;0;259.22;259.22
2022;01;22840;"CHA KOMBUCHA KHAPPY 355ML JABUTICABA";167.76;15.52;0;104.25;111.56
2022;01;8821;"DOCE LEITE Z LAC PIRACANJUBA 350G";363.49;33.62;0;237.1;259.29
2022;01;14320;"IOG PROT V CAMPO WHEY 14 250G JABUTICABA";495.99;0;0;330.65;330.65
2022;01;26321;"CALDO SAZON 32.5G LEGUMES";130.53;33.28;0;58.88;58.88
2022;01;24626;"HAV KIDS SLIM PRINC RS CRIST 31";99.8;25.53;0;34.59;35.42
2022;01;26400;"BOLO INT V SOL NATURISTA 300G";295.35;27.32;0;198.03;198.03
2022;01;14882;"BOMBOM FLORMEL MINI 54G CARAMELO";262.6;24.29;0;173.17;190.82
2022;01;10170;"MAC S GL AMALIA 500G FUSILLI";400.97;0;0;273.97;273.97
2022;01;17605;"CACTUS ARAKI P09";178.8;16.54;0;69.66;76.76
2022;01;26670;"CHA MATTE LEAO GLD 25G ABAC HORTELA";467.61;119.7;0;198.04;198.04
2022;01;15370;"GELEIA C MADEIRA GOURMET 220G CAFE";33.8;3.13;0;19.73;21.26
2022;01;11508;"RABADA KG";3266.58;0;0;2919.64;2919.64
2022;01;6122;"PIMENTA CALABRESA KITANO FLOCOS 13G";408.03;104.06;0;148.56;148.56
2022;01;7512;"SUPLEM STN CREATINA 300G";165;42.22;0;68.95;68.95
2022;01;11798;"MAMINHA ALCATRA KG";2700.77;0;0;2266.81;2266.8
2022;01;1511;"AMOLECEDOR CUTICULAS FARMAX 100ML";101.4;0;0;50.46;50.46
2022;01;20926;"PETISQUEIRA VD DYNASTY 24,6X3,5CM PIGUET";101.7;9.41;0;40.47;43.51
2022;01;21621;"CAP CAFE DOLCE GUSTO 128G CASEIRO";752.7;52.78;0;497.57;497.57
2022;01;24419;"DESINF LYSOFORM 500ML GAT SV ODOR";294.22;75.32;0;144.57;160.17
2022;01;26808;"FAROFA PRONTA PINK 500G PICANHA";203.66;52.16;0;71.81;92
2022;01;14751;"ROUP ASTRA TELADO 45L";258;66.01;0;138.61;143.29
2022;01;2140;"SH SANOL DOG ANTIPULGAS 500ML";155.4;39.75;0;63.37;72.15
2022;01;19348;"BANDEJA LAMIN REGINA N 05";111.68;10.33;0;48.61;48.62
2022;01;7944;"BAGUETE BIG ITALIANA KG";773.91;130.52;0;93.13;93.33
2022;01;8517;"LOCAO HIDRAT JOHNSONS 200ML BABY HIDR";99.6;0;0;68.66;68.66
2022;01;23312;"CONJ FACAS INOX LYOR 22CM 6PC CHURR";52;13.3;0;24.95;24.95
2022;01;19546;"CHOC BIANCA AMARGO 55 100G";154.7;14.31;0;94.81;94.84
2022;01;25314;"JARRA CRIST WOLFF 1.5L PALM TREE TRANSP";299.7;27.72;0;154.95;163.69
2022;01;21861;"SH PET CAFUNE 300ML AMENDOAS 2X1";89.5;22.4;0;39.25;39.25
2022;01;16005;"LAVA R LIQ OMO LAV PER 5L ACELERADOR";2635.6;243.79;0;2036.47;2221.99
2022;01;9912;"GALETO SADIA KG";143.74;0;0;63.96;64.63
2022;01;11965;"SPRAY BUCAL DENTIL FRESH MINT 20ML";87.2;0;0;54.05;54.05
2022;01;26278;"PANETTONE NESTLE 400G ALPINO CHOC";875.08;80.94;93.6;617.65;727.03
2022;01;23297;"PRATO VD LUMINARC RASO 27CM ALEXIE BLACK";19;1.76;0;11.72;12.57
2022;01;24594;"HAV SLIM ROMANCE RS BALLET 39";39.9;10.21;0;14.61;14.82
2022;01;6325;"PIZZA BIG PROVOLETA GD";57.9;4.86;0;15.72;15.75
2022;01;20562;"BIFINHO 100 DOG 50G FGO";335.3;31.02;0;141.66;141.66
2022;01;11151;"LASANHA SADIA 600G CALABRESA";726.88;0;0;533.55;533.57
2022;01;11302;"PRESUNTO COZIDO SADIA SOLTISS 200G";2478;229.22;0;1408.83;1409.61
2022;01;23748;"BISC ARROZ S GL N LIFE 70G CHURR";130.3;12.05;0;74.09;80.33
2022;01;26095;"CERV BRA SPATEN P MALTE 355ML LN";4790;0;0;3680;3680
2022;01;10941;"JILO KG";330.78;0;0;319.44;321.1
2022;01;25539;"VH BRA ARTE 750ML TT BLEND";2321.98;214.78;0;1459.11;1559.54
2022;01;22735;"IOG NAT INT ATILATTE 170G";39.86;0;0;29.59;29.59
2022;01;6444;"CAFE SOLUV NESCAFE 100G ORIG";359.52;0;0;229.69;229.69
