ANO;MES;PRODUTO;DESCCOMPLETA;VALOR_TOTAL_LIQUIDO;IMPOSTOS;VERBA_BONIFICACAO;CUSTO_LIQUIDO;CUSTO_FISCAL_TOTAL
2022;12;30126;"SAB DOVE 90G ERVA DOCE";842.48;0;0;695.32;729.82
2022;12;22656;"FARINHA TRIGO RENATA 1KG";2181.08;152.83;0;1418.58;1418.58
2022;12;8738;"NECTAR D VALLE 290ML UVA";1051.86;97.3;0;606.82;606.79
2022;12;10452;"IOG LIQ ITAMBE 1250G MGO";7517.06;0;0;5313.83;5313.83
2022;12;29565;"SH JOHNSONS BABY 200ML CABELOS CLAROS";348.74;0;0;240.17;240.17
2022;12;19205;"CAFE PILAO VACUO 500G E FORTE";15736.75;1101.28;2682;10472.01;13183.02
2022;12;687;"ABS INTERNO INTIMUS 8UN MINI";996.82;92.21;0;564.23;565.03
2022;12;5708;"REFRESCO FRISCO 25G GUARANA";509.37;130.82;0;235.78;235.79
2022;12;3430;"BEB LAC PIRAKIDS 1L CHOCO";612.38;0;0;427.53;427.54
2022;12;3858;"BISC RECH BAUDUCCO RECHEADINHO 112G GOIABA";2396.1;221.64;0;1640.69;1687.19
2022;12;27431;"SALADA PRATIKA HAVAIANA 300G";2972.38;274.95;0;1185.62;1185.78
2022;12;1008;"BOMBOM AMANDITA 200G";9336.85;863.66;595;6412.41;7005.52
2022;12;3585;"RACAO AVE FORTE 500G CANARIO";703.53;65.08;0;429.93;429.93
2022;12;7948;"SALADA PRATIKA HAVAIANA 500G";214.2;19.81;0;91.36;91.39
2022;12;7357;"CEREAL NESTLE SNOW FLAKES 120G";645.86;59.74;0;408.45;408.45
2022;12;11504;"RABADA EMB PORC KG";970.39;0;0;689.45;689.45
2022;12;18993;"DESODOR PASTILHA PATO 3UN 20DESC CITRUS";2903.76;268.6;0;1538.97;1538.63
2022;12;6614;"REFRIG ZR MATE COURO 2L";775.86;0;0;585.99;585.99
2022;12;8586;"SH PALM NAT 350ML CERAMIDAS";628.74;0;0;449.45;449.45
2022;12;14811;"VH CHI C TORO RSD 750ML SWEET";5540.5;512.5;0;4099.75;4099.79
2022;12;25726;"TEMPERO BAIANO SABOR 10G";881.95;81.58;0;384.92;384.92
2022;12;3633;"AGUA TONICA ZR ANTARCTICA 350ML";5337.68;0;0;3621.33;3983.82
2022;12;24305;"COXINHA ASA PIF PAF TEMP IQF 1KG";31923.35;0;0;25476.66;25486.6
2022;12;15945;"CR D CLOSE UP 70G PROT BIOATIVA";1627.41;0;0;1126.04;1126.04
2022;12;10934;"MAC INST NISSIN CUP NOODLES 69G CNE";2383.73;0;45.2;1745.52;1792.5
2022;12;4621;"DESOD PES PO TENYS PE 100G CANFORADO";1388.86;0;0;903.64;917.52
2022;12;23463;"BATATA LAYS 80G SAL VINAG";1946.86;180.08;0;1210.36;1210.36
2022;12;11036;"KIWI KG";15094.42;0;0;8246.17;8246.13
2022;12;2729;"BALA FINI 90G MINHOCA CITRICA";4256.91;1090.11;0;1878.13;2103.74
2022;12;15299;"OLEO COMPOSTO OLIVIA 500ML TRAD";1214.19;112.31;0;837.58;837.58
2022;12;14962;"PALITO BIG TRES QJOS 400G";1297.73;331.87;0;657.75;657.95
2022;12;30473;"PICANHA SUINA PIF PAF TEMP RESF KG";7659.92;0;0;5284.31;5284.24
2022;12;27524;"LAVA R PO TIXAN 800G CX PRIMAVERA";10818.01;1000.67;0;7887.49;8402.75
2022;12;592;"CUPIM BIG BOVINO RECH 11.65 KG";1616.73;413.66;0;881.17;881.45
2022;12;547;"CARNE SOL BIG 07 65 KG";8729.06;0;0;5649.29;5649.3
2022;12;7147;"SAB LIQ LUX BOTAN 200ML RF B JASMIN";1473.47;136.3;0;945.05;945.08
2022;12;10548;"MUSCULO DIANTEIRO KG";18066.36;0;0;15350.92;15350.96
2022;12;28730;"CERV BRA SPATEN 600ML";8464.53;0;0;6939.12;6939.12
2022;12;26081;"LIMP M USO MARINA 500ML TRAD";1038.55;96.07;0;559.01;569.24
2022;12;26609;"SABAO BARRA YPE 180G COCO";2553.38;654.32;0;1086.26;1086.24
2022;12;2480;"BISC C CRACKER INT BAUDUCCO 200G";2883.9;266.76;0;2048.47;2470.47
2022;12;10437;"FEIJOADA BORDON 430G";1346.98;124.6;0;827.94;827.95
2022;12;18022;"BIFINHO BAWWAW 40G R PQ CNE LTE";952.77;88.13;0;503;503
2022;12;7429;"ISQUEIRO BIC MINI SM";714.06;182.47;0;262.78;265.75
2022;12;29121;"LEITE F ITAMBE 480G MGO";1465.11;0;0;1003.1;1003.1
2022;12;9490;"OLEO COMPOSTO MARIA 500ML PT ERVAS FINAS";726.7;67.22;0;496.15;496.14
2022;12;1168;"LIMP PERF UAU 500ML FLORES";1427.99;132.09;0;924.09;924.07
2022;12;25669;"MIST BOLO FLEISCHMANN CLARA 390G LJA";416.1;38.49;0;241.9;241.9
2022;12;9867;"ALHO GRANULADO ROXAO 100G";1202.81;111.26;0;568.11;568.11
2022;12;6578;"MAIONESE ARISCO 500G TRAD";3645.61;337.22;245.64;2518.2;2763.81
2022;12;8052;"COLORAU PIRATA 500G";1882.43;174.12;0;1130.63;1130.63
2022;12;27382;"LIMP ALUMINIO MARINA 500ML GREEN";697.54;64.52;0;352.04;352.16
2022;12;19959;"AVEIA FLOCOS QUAKER 450G";1035.45;264.79;0;472.42;472.42
2022;12;20884;"AMAC COMFORT 1.8L BRISA TROPICAL";1079.52;99.86;0;716.96;725.47
2022;12;7537;"PAO BIG ALHO BACON KG";5509.04;1409.7;0;1546.95;1548.93
